# DeepL Glossary for Chase Chase Jokers
# Format: japanese_term<TAB>english_translation
#
# Lines starting with # are comments and ignored.
# Empty lines are ignored.
# Terms are case-sensitive on the Japanese side.
# DeepL applies glossary entries to whole words when possible.
#
# This file is uploaded to DeepL as a glossary, then referenced by ID in
# translation requests. The verify_with_deepl.py script handles this automatically.
#
# Notes on glossary behavior:
# - DeepL matches whole-word terms; partial matches inside compounds may not trigger
# - Glossaries are JA→EN-US specific (a separate one would be needed for other language pairs)
# - You can have up to 1,000 glossary entries on the free tier
# - Updates require re-uploading (the script does this automatically when this file changes)

# ============================================================
# CORE GAME TERMINOLOGY
# ============================================================

オニ	Oni
ヒト	Human
デグチ	Exit
タマシイ	Souls
キーパワー	Key Power
キーパワーハツデンキ	Key Power Generator
ジュウデン	Charge
充電	Charge
チェイスチェイスジョーカーズ	Chase Chase Jokers
ジョーカーチェイス	Joker Chase
オニごっこ	game of tag
ネガイ	Wish
サカサマ	Sakasama
サカサマタワー	Sakasama Tower
サカサマ山脈	Sakasama Mountains
サカサマランド	Sakasama Land
迷路城	Maze Castle
ヨっちゃん	Yocchan
ヨっちゃん堂	Yocchan-do
コブン	Kobun
REDRUM	REDRUM
本目	Run

# ============================================================
# MAP NAMES (hyphenated form locked in)
# ============================================================

ウラオオサカ	Ura-Osaka
ウラシブヤ	Ura-Shibuya
ウラオキナワ	Ura-Okinawa

# ============================================================
# CHARACTER NAMES (Hepburn, family-given order)
# ============================================================

悪亜チノン	Akua Chinon
赤鬼カギコ	Akaoni Kagiko
首塚ボタン	Kubitsuka Botan
首塚ツバキ	Kubitsuka Tsubaki
死涼ミヨミ	Shinazu Miyomi
華ヶ城ジョウカ	Hanagajou Jouka
跡部クルル	Atobe Kururu
我来ミロク	Gairai Miroku
最愛チアモ	Saiai Chiamo
紅刃	Kureha
パイン	Pine
グリム・マラリヤ	Grim Malariya
天獄エンマ邪水	Tengoku Enma Jasui
花子	Hanako
貞子	Sadako

# ============================================================
# CHARACTER NAMES (katakana variants commonly used)
# ============================================================

チノン	Chinon
カギコ	Kagiko
ボタン	Botan
ツバキ	Tsubaki
ミヨミ	Miyomi
ジョウカ	Jouka
クルル	Kururu
ミロク	Miroku
チアモ	Chiamo
マラリヤ	Malariya
廻	Alternative

# ============================================================
# SKILL NAMES (locked in across skills.txt and gameplay.txt)
# ============================================================

ハイジャンプ	High Jump
アムールオーバードーズ	Amour Overdose
天翅の風	Wind of Heavenly Wings
怨讐呪殺参り	Vengeful Curse Pilgrimage
紅牙一閃	Crimson Fang Flash
呪霊ノ展	Spread of Curse Spirits
パインボム	Pine Bomb
勅令	Imperial Decree
勅命	Imperial Command
怨気	Rancor
どきどき陰陽	Heart-Pounding Yin-Yang
わくわく陰陽	Thrilling Yin-Yang
彼岸斬	Far-Shore Slash
輪廻の雷	Thunder of Samsara
曼珠沙華	Manjushage
曼殊沙華	Manjushage
羅神岩	Rashin Rock
羅生岩	Rashouiwa

# ============================================================
# CHARACTER FORMS — Oni transformation costume parts
# Each character has a "human form" outfit (制服/靴) and an
# "Oni form" outfit (鬼装束/鬼靴) for when they transform.
# ============================================================

# Generic form-piece terms
制服	Uniform
靴	Shoes
鬼装束	Oni Garb
鬼靴	Oni Shoes
鬼帽子	Oni Hat
装束	Garb
フォーム	Form
フォーム解放	Form Release
サカサマフォーム	Sakasama Form
オニフォーム	Oni Form
ヒトフォーム	Human Form
解放	Release

# Character form references — Human form
チノンの制服	Chinon's Uniform
チノンの靴	Chinon's Shoes
カギコの制服	Kagiko's Uniform
カギコの靴	Kagiko's Shoes
ボタンの制服	Botan's Uniform
ボタンの靴	Botan's Shoes
ミヨミの制服	Miyomi's Uniform
ミヨミの靴	Miyomi's Shoes
ジョウカの制服	Jouka's Uniform
ジョウカの靴	Jouka's Shoes
クルルの制服	Kururu's Uniform
クルルの靴	Kururu's Shoes
ミロクの制服	Miroku's Uniform
ミロクの靴	Miroku's Shoes
パインの制服	Pine's Uniform
パインの靴	Pine's Shoes
パインのベレー帽	Pine's Beret
チアモの制服	Chiamo's Uniform
チアモの靴	Chiamo's Shoes
マラリヤの制服	Malariya's Uniform
マラリヤの靴	Malariya's Shoes
グリム・マラリヤの制服	Grim Malariya's Uniform
グリム・マラリヤの靴	Grim Malariya's Shoes
ツバキ【廻】の制服	Tsubaki [Reincarnated]'s Uniform
ツバキ【廻】の靴	Tsubaki [Reincarnated]'s Shoes

# Character form references — Oni form costume
チノンの鬼装束	Chinon's Oni Garb
チノンの鬼靴	Chinon's Oni Shoes
カギコの鬼装束	Kagiko's Oni Garb
カギコの鬼靴	Kagiko's Oni Shoes
ミヨミの鬼装束	Miyomi's Oni Garb
ミヨミの鬼靴	Miyomi's Oni Shoes
ミヨミの鬼帽子	Miyomi's Oni Hat
ジョウカの鬼装束	Jouka's Oni Garb
ジョウカの鬼靴	Jouka's Oni Shoes
クルルの鬼装束	Kururu's Oni Garb
クルルの鬼靴	Kururu's Oni Shoes
ミロクの鬼装束	Miroku's Oni Garb
ミロクの鬼靴	Miroku's Oni Shoes
パインの鬼装束	Pine's Oni Garb
パインの鬼靴	Pine's Oni Shoes
チアモの鬼装束	Chiamo's Oni Garb
チアモの鬼靴	Chiamo's Oni Shoes
花子の鬼装束	Hanako's Oni Garb
花子の鬼靴	Hanako's Oni Shoes
ツバキ【廻】の鬼装束	Tsubaki [Reincarnated]'s Oni Garb
ツバキ【廻】の鬼靴	Tsubaki [Reincarnated]'s Oni Shoes

# Character-specific weapons (Oni form weapons)
チノンの斧	Chinon's Axe
カギコの金棒	Kagiko's Kanabou
ミヨミの鉄球	Miyomi's Iron Ball
ジョウカの大包丁	Jouka's Cleaver
クルルのメス	Kururu's Scalpel
ミロクの鎌	Miroku's Scythe
パインのアルティメットマジカルポテトマッシャー	Pine's Ultimate Magical Potato Masher
チアモの裁ちばさみ	Chiamo's Dressmaking Shears
ツバキの５５寸釘	Tsubaki's 55-Sun Nails
